_id,bgColor,createdAt,deleted,order,removedBy,slug,status,title,updatedAt,userId,workspaceId
99ieG5EEQRnGcEDMr,"rgb(59,32,63)",2018-09-09T22:12:14.983Z,false,0,,reflections-weeks-1-5,public,Reflections (Weeks 1-5),2018-10-13T02:06:59.403Z,muYH38EBAz2FHBK2L,6iGSbyGrmvSDQfLX5
asHcy3a3MqrLEjfYi,"rgb(233,113,219)",2018-09-09T22:13:01.364Z,false,3,,bio-and-misc,public,Bio and Misc.,2018-10-13T02:06:59.425Z,muYH38EBAz2FHBK2L,6iGSbyGrmvSDQfLX5
NXpz3ToMrdj4MEAaL,"rgb(194,233,221)",2018-09-11T02:18:02.150Z,true,0,,---,public,,2018-09-11T02:18:07.085Z,5fDT25YHWKd98iP5q,ELPZs6vTqhGzzBAzq
XsoDYHfhxZgHyZC9g,"rgba(92,184,92,1)",2018-09-11T02:54:14.239Z,false,4,,week-1-assignment,public,Week 1 Assignment,2018-12-09T18:44:59.072Z,GFwf4gFb2SrTzgwnB,DfvqPYzvpvaomSe9M
2cBDTHp8geET2Eiww,"rgb(88,34,65)",2018-09-11T03:36:30.124Z,false,0,,about-me,public,About Me,2018-09-21T05:24:50.929Z,zXFnQwb6rdhSQWuGd,wa9fkhCXPgXL5Xca3
sY7392Yr7ALeWiMzD,"rgb(243,138,97)",2018-09-11T03:40:38.630Z,false,1,,week-1,public,Week 1,2018-09-21T05:24:50.942Z,zXFnQwb6rdhSQWuGd,wa9fkhCXPgXL5Xca3
xwtxtEpzd9ozXhr7n,"rgba(91,192,222,1)",2018-09-11T03:45:58.966Z,false,0,,about-me,public,About Me,2018-12-09T18:44:59.061Z,GFwf4gFb2SrTzgwnB,DfvqPYzvpvaomSe9M
njY5JZusZZqRkCqRs,"rgb(133,154,180)",2018-09-11T15:20:32.902Z,false,0,,about-me,public,About me,2018-09-11T15:20:36.641Z,Enke95Wm2oP979qYz,MbCgpyEDGs5HJz2zZ
YyikQqrbbd2oMRqvF,"rgba(91,192,222,1)",2018-09-11T16:52:18.752Z,false,0,,week-1-the-project-method-design,public,Week 1 The Project Method & Design,2018-12-04T04:20:10.940Z,naGTTkfNgE2NgAZd9,Xsi7gsQ9TzCsHBgA3
8vM98ngf4BHTvDRWL,"rgba(77,79,111,1)",2018-09-11T18:04:10.713Z,false,0,,about-me,public,About Me,2018-11-26T23:32:37.793Z,5fDT25YHWKd98iP5q,ELPZs6vTqhGzzBAzq
wLAa7SopjXJmJtmDh,"rgba(105,170,247,1)",2018-09-11T18:18:21.228Z,false,1,,first-project-sept-21st,public,First Project - Sept. 21st,2018-11-26T23:32:37.824Z,5fDT25YHWKd98iP5q,ELPZs6vTqhGzzBAzq
k3eS5tSsYkHHiZMCw,"rgb(149,174,182)",2018-09-12T03:20:47.498Z,false,1,,readings,public,Readings,2018-09-12T03:20:52.632Z,kkLmXoFfnTqPXgGq6,NYcwSLypaMk2qbCcA
oNzwGDvzJtTEKfhxu,"rgba(7,137,173,1)",2018-09-12T13:34:42.205Z,false,8,,reading-reflections-week-2,public,Reading Reflections Week 2,2018-11-16T00:46:35.104Z,8nDDuSkJHBZuXp8Mf,qMvJuk48atWs86Z2P
AautqQQdpmCqsC9Wf,"rgba(48,18,181,1)",2018-09-12T18:44:56.783Z,false,0,,vialogue,public,Vialogue,2018-09-12T18:47:01.875Z,eYdjdDxtjCy6YRnWx,ZgJbvxsTihep9Bs9X
g4gisBBHN2FpaeBQ4,"rgb(164,185,236)",2018-09-12T22:36:37.994Z,false,2,,week-2-91418-assignments,public,Week 2 (9.14.18) Assignments,2018-12-02T17:57:09.453Z,KtmxSfDBijtzjsJYm,vBwmcABpqnaEzfx6A
zm75HP89yHwZ3yQ2H,"rgb(187,87,22)",2018-09-13T01:55:23.628Z,true,2,,---,public,,2018-09-13T01:55:38.131Z,5fDT25YHWKd98iP5q,ELPZs6vTqhGzzBAzq
